group_id,label,orbital_period_days,eccentricity,arg_periastron_deg,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_age_gyr
EPIC 212451091.01,CANDIDATE,12.666,,,0.053,3.51,0.1876,0.043318,,,,,,,5690.0,4.48856,,0.948236,1.01,
EPIC 212454160.01,CANDIDATE,0.876,,,0.526,7.37208,0.0146,0.012103,,,,,,,5849.0,4.11289,,1.49707,1.06,
EPIC 212454422.01,CANDIDATE,3.26945,,,,0.96,1.55,0.13,,25.7,3.9,,,,,,,0.276,,
EPIC 212464382.01,CANDIDATE,4.07337,,,,2.76,0.0125,0.01071,,9.7,0.928,,,,,,,0.794,,
EPIC 212495601.01,CANDIDATE,21.6768,,,,4.872,0.0726,0.0262,,31.1,2.87,,,,,,,1.003,,
EPIC 212497862.01,CANDIDATE,6.80213,,,,1.272,0.208,0.044,,37.5,1.82,,,,,,,0.379,,
EPIC 212499835.01,CANDIDATE,6.88385,,,,7.584,1.207,0.1023,,6.78,8.3,,,,,,,0.743,,
EPIC 212499991.01,CANDIDATE,15.3866,,,,2.4,0.0796,0.0292,,37.0,2.41,,,,,,,0.758,,
EPIC 212524671.01,CANDIDATE,11.52898,,,,1.488,0.494,0.0675,,56.9,3.93,,,,,,,0.533,,
EPIC 212525174.01,CANDIDATE,3.44791,,,,1.632,0.048,0.0211,,14.3,1.46,,,,,,,0.637,,
EPIC 212525618.01,CANDIDATE,14.4307,,,,3.0,0.0487,0.0212,,31.5,2.28,,,,,,,0.986,,
EPIC 212529560.01,CANDIDATE,8.12088,,,,3.48,0.0534,0.0224,,15.6,2.69,,,,,,,1.101,,
EPIC 212534729.01,CANDIDATE,13.485,,,,2.88,0.0337,0.0174,,31.3,1.67,,,,,,,0.879,,
EPIC 212535959.01,CANDIDATE,17.732736,,,0.797,8.7,,0.1262,,12.38,23.212,,,,5650.0,4.03,-0.277,1.684,1.114,
EPIC 212540985.01,CANDIDATE,1.096473,,,,3.768,2.977,0.373,,2.319,78.0,,,,,,,1.913,,
EPIC 212555594.02,CANDIDATE,4.162764,,,0.5,1.5504,,0.0168,,,1.5,,,,,,,0.83,,
EPIC 212560683.01,CANDIDATE,13.7043,,,,4.272,0.0158,0.0118,,21.3,1.3,,,,,,,1.014,,
EPIC 212562715.01,CANDIDATE,13.52583,,,,2.76,0.0704,0.0246,,33.8,2.49,,,,,,,0.927,,
EPIC 212563850.01,CANDIDATE,14.311,,,0.0,1.96008,0.0689,0.026248,,,,,,,4076.0,4.66576,,0.614558,0.638,
EPIC 212569876.01,CANDIDATE,21.379793,,,0.169,5.5,,0.0274,,30.03,2.088,,,,4722.0,4.665,-0.248,0.698,0.825,
EPIC 212570977.01,CANDIDATE,8.853025,,,0.43,4.2192,,0.1514,,,14.4,,,,,,,0.87,,
EPIC 212572439.01,CANDIDATE,2.581467,,,0.6,1.6896,,0.0668,,,5.7,,,,,,,0.78,,
EPIC 212577658.01,CANDIDATE,14.06928,,,,3.0048,0.0402,0.01915,,32.4,1.83,,,,,,,0.876,,
EPIC 212579164.01,CANDIDATE,18.155653,,,0.74,3.5904,,0.607,,,55.0,,,,,,,0.83,,
EPIC 212579424.01,CANDIDATE,6.373,,,0.0,1.902,1.7919,0.133861,,,,,,,6518.0,4.57297,,0.991065,1.34,
EPIC 212585579.01,CANDIDATE,3.021944,,,,2.0304,0.1186,0.092,,4.62,10.8,,,,,,,1.082,,
EPIC 212586030.01,CANDIDATE,7.78608,,,,2.472,0.0622,0.0298,,12.5,10.9,,,,,,,3.34,,
EPIC 212590677.01,CANDIDATE,,,,,3.576,1.101,0.175,,,15.2,,,,,,,0.797,,
EPIC 212592101.01,CANDIDATE,4.54462,,,,1.512,0.929,0.125,,15.0,6.6,,,,,,,0.487,,
EPIC 212601505.01,CANDIDATE,0.72436144,,,,1.238,3.564,,,,,,,,3276.0,4.60926,,0.650416,0.627438,
EPIC 212616320.01,CANDIDATE,12.346663,,,0.245,4.6,,0.0212,,20.23,2.345,,,,5685.0,4.371,-0.159,1.011,0.88,
EPIC 212621075.01,CANDIDATE,31.4782,,,,4.488,0.1052,0.0316,,46.6,2.6,,,,,,,0.7556,,
EPIC 212622766.01,CANDIDATE,6.02226,,,,2.088,0.0384,0.019,,18.5,2.02,,,,,,,0.9738,,
EPIC 212634172.01,CANDIDATE,2.851702,,,,0.864,0.488,0.0655,,23.5,2.16,,,,,,,0.303,,
EPIC 212636654.01,CANDIDATE,11.090822,,,0.421,4.1,,0.0168,,19.29,1.818,,,,5763.0,4.259,-0.481,0.989,0.652,
EPIC 212639319.01,CANDIDATE,13.83851,,,,1.4952,0.0882,0.0286,,65.2,8.26,,,,,,,2.65,,
EPIC 212645891.01,CANDIDATE,0.32815384,,,,1.2048,0.2247,0.134,,1.481,17.1,,,,,,,1.168,,
EPIC 212646483.01,CANDIDATE,8.25178,,,,1.1424,0.0954,0.0296,,50.1,6.99,,,,,,,2.161,,
EPIC 212648083.01,CANDIDATE,20.5827,,,,3.72,0.0664,0.0249,,39.2,2.98,,,,,,,1.099,,
EPIC 212652418.01,CANDIDATE,19.1324,,,,3.336,0.0366,0.0186,,39.3,2.73,,,,,,,1.347,,
EPIC 212661144.01,CANDIDATE,2.458783,,,,1.2576,0.0943,0.0295,,13.1,3.11,,,,,,,0.964,,
EPIC 212679181.01,CANDIDATE,1.054604,,,,0.4608,0.0658,0.0252,,14.5,0.824,,,,,,,0.3,,
EPIC 212685467.01,CANDIDATE,,,,,7.32,0.9679,0.231,,,24.0,,,,,,,0.951,,
EPIC 212688722.01,CANDIDATE,5.734172,,,0.728,5.7,,0.0207,,5.47,6.2,,,,5192.0,3.618,-0.447,2.747,1.147,
EPIC 212688920.01,CANDIDATE,62.841,,,0.818,2.02296,5.3463,0.231222,,,,,,,4971.0,4.24294,,1.13363,0.82,
EPIC 212690867.01,CANDIDATE,25.8614,,,,2.976,0.265,0.0491,,61.3,1.58,,,,,,,0.295,,
EPIC 212691727.01,CANDIDATE,6.430383,,,0.186,4.9,,0.0374,,10.32,4.309,,,,5735.0,4.314,-0.179,1.054,0.839,
EPIC 212703473.01,CANDIDATE,6.78882,,,,2.9328,0.02348,0.01436,,15.8,2.8,,,,,,,1.76,,
EPIC 212703473.02,CANDIDATE,18.5159,,,,2.808,0.03067,0.01712,,44.9,3.3,,,,,,,1.76,,
EPIC 212705192.01,CANDIDATE,2.268,,,0.073,1.51512,0.4633,0.068064,,,,,,,5789.0,3.78943,,2.15197,1.04,
EPIC 212712473.01,CANDIDATE,7.264,,,0.101,3.06792,0.3232,0.056852,,,,,,,,,,,,
EPIC 212730483.01,CANDIDATE,3.4914,,,,1.824,0.0376,0.019,,12.1,1.18,,,,,,,0.572,,
EPIC 212735133.01,CANDIDATE,7.685505,,,0.314,2.8,,0.0272,,20.74,2.084,,,,5176.0,4.587,-0.594,0.703,0.695,
EPIC 212743333.01,CANDIDATE,14.78545,,,,1.848,0.1633,0.0385,,54.0,2.62,,,,,,,0.623,,
EPIC 212746655.01,CANDIDATE,34.383193,,,0.826,3.7,,0.0269,,43.44,2.856,,,,5666.0,4.343,-0.137,0.972,0.765,
EPIC 212753343.01,CANDIDATE,19.984217,,,0.398,5.0,,0.0149,,28.65,2.846,,,,6823.0,4.004,-0.224,1.753,1.62,
EPIC 212757601.01,CANDIDATE,1.017977,,,,2.0808,1.396,0.259,,2.85,18.1,,,,,,,0.638,,
EPIC 212771557.01,CANDIDATE,8.491003,,,0.444,2.9,,0.0243,,20.96,2.228,,,,5432.0,4.51,-0.13,0.841,0.836,
EPIC 212772113.01,CANDIDATE,8.95366,,,,0.8952,0.142,0.0361,,68.0,3.32,,,,,,,0.841,,
EPIC 212772313.01,CANDIDATE,37.361973,,,,,,0.022525,87.2882,19.870685,2.74426869,,,,5675.0,4.25,0.03,1.116937,,
EPIC 212783902.01,CANDIDATE,24.748442,,,0.538,2.9,,0.2398,,74.15,16.683,,,,5803.0,4.637,-0.235,0.637,0.633,
EPIC 212796016.01,CANDIDATE,3.216,,,0.0,1.34304,0.0308,0.01754,,,,,,,3954.0,4.63225,,0.622576,0.60613,
EPIC 212797028.01,CANDIDATE,29.978884,,,0.85,6.3696,,0.1481,,,15.3,,,,,,,0.94,,
EPIC 212813907.01,CANDIDATE,6.72511,,,,1.0824,0.28,0.0509,,42.8,4.37,,,,,,,0.787,,
EPIC 212817071.01,CANDIDATE,12.24568,,,0.552,2.8,,0.0236,,28.46,2.047,,,,5329.0,4.573,-0.011,0.796,0.871,
EPIC 212821706.01,CANDIDATE,13.8883,,,,3.336,0.0558,0.0226,,28.3,1.46,,,,,,,0.592,,
EPIC 212830737.01,CANDIDATE,26.939433,,,0.411,5.4,,0.0258,,35.48,2.869,,,,5716.0,4.312,-0.217,1.02,0.776,
EPIC 212833814.01,CANDIDATE,27.7985,,,,11.64,0.0255,0.01524,,16.3,2.47,,,,,,,1.484,,
EPIC 212839127.01,CANDIDATE,20.641492,,,1.11,4.0296,,0.431,,,49.5,,,,,,,1.05,,
EPIC 212844216.01,CANDIDATE,12.634794,,,0.994,6.5,,0.0424,,4.7,47.553,,,,4999.0,2.32,-1.432,10.265,0.805,
EPIC 212865617.01,CANDIDATE,7.535783,,,0.361,2.3,,0.0435,,24.66,3.131,,,,3990.0,4.718,-0.089,0.659,14.336,
EPIC 212870185.01,CANDIDATE,6.116238,,,0.54,2.5,,0.029,,16.14,4.886,,,,6283.0,4.154,-0.268,1.544,1.235,
EPIC 212883391.01,CANDIDATE,9.668373,,,0.776,2.3,,0.0295,,22.08,2.628,,,,5368.0,4.527,-0.206,0.817,0.826,
EPIC 213123443.01,CANDIDATE,0.546127,,,,3.168,0.03923,0.072,,1.137,11.3,,,,,,,1.447,,
EPIC 213408445.01,CANDIDATE,2.49686,,,,6.816,0.0692,0.072,,1.419,90.0,,,,,,,11.0,,
EPIC 213462890.01,CANDIDATE,5.84643,,,,1.968,1.521,0.136,,17.5,10.4,,,,,,,0.698,,
EPIC 213546283.01,CANDIDATE,9.7706,,,,3.228,0.0988,0.0292,,21.1,3.8,,,,,,,1.195,,
EPIC 213703832.01,CANDIDATE,0.515513,,,0.69,1.3104,,0.0409,,,3.4,,,,,,,0.75,,
EPIC 213722591.01,CANDIDATE,6.7826,,,,2.712,0.0633,0.0245,,16.6,1.88,,,,,,,0.705,,
EPIC 213748480.01,CANDIDATE,3.12951,,,,3.96,0.0898,0.086,,2.52,18.6,,,,,,,1.99,,
EPIC 213817056.01,CANDIDATE,13.61242,,,,3.024,0.1453,0.0351,,32.3,3.03,,,,,,,0.793,,
EPIC 213840781.01,CANDIDATE,12.364531,,,1.03,2.8608,,0.4363,,,36.3,,,,,,,0.76,,
EPIC 213919434.01,CANDIDATE,6.79867,,,,2.76,0.0436,0.0254,,10.8,4.4,,,,,,,1.601,,
EPIC 213919915.01,CANDIDATE,1.489154,,,,1.512,0.00562,0.00724,,6.5,1.9,,,,,,,2.4,,
EPIC 213920015.01,CANDIDATE,1.489184,,,0.5,1.4592,,0.0104,,,1.0,,,,,,,0.87,,
EPIC 214173069.02,CANDIDATE,14.1297,,,,3.528,0.0383,0.0186,,27.2,1.4,,,,,,,0.69,,
EPIC 214234110.01,CANDIDATE,4.63789,,,,1.0656,0.0362,0.0183,,28.8,2.04,,,,,,,1.021,,
EPIC 214254518.01,CANDIDATE,5.059033,,,,,,0.015256,88.10206,14.421271,1.03801946,,,,4455.0,4.68,-0.28,0.623766,,
EPIC 214512594.01,CANDIDATE,1.876899,,,,4.0464,2.409,0.1564,,3.243,13.2,,,,,,,0.774,,
EPIC 214522613.01,CANDIDATE,10.99044,,,,,,0.024,88.86,36.32,1.16,,,,3584.0,4.73663,,0.500884,0.498929,
EPIC 214611894.01,CANDIDATE,21.568409,,,0.11,4.0704,,0.1557,,,20.5,,,,,,,1.21,,
EPIC 214630761.01,CANDIDATE,1.236438,,,,2.4912,0.2554,0.143,,2.18,50.0,,,,,,,3.2,,
EPIC 214741009.01,CANDIDATE,7.269213,,,,2.6448,0.922,0.215,,13.32,163.0,,,,,,,6.93,,
EPIC 214888033.01,CANDIDATE,7.457597,,,,1.872,0.573,0.077,,24.8,8.7,,,,,,,1.037,,
EPIC 214912104.01,CANDIDATE,43.1029,,,,22.896,0.3263,0.058,,11.37,12.2,,,,,,,1.923,,
EPIC 214984368.01,CANDIDATE,0.2633809,,,,2.196,0.06034,0.09,,1.108,370.0,,,,,,,37.7,,
EPIC 215101303.01,CANDIDATE,15.20726,,,,3.6672,2.411,0.1514,,31.6,26.2,,,,,,,1.59,,
EPIC 215125108.01,CANDIDATE,0.738067,,,,2.928,0.0902,0.095,,1.312,260.0,,,,,,,25.0,,
EPIC 215171927.01,CANDIDATE,4.13556,,,,2.208,0.032,0.0173,,12.6,1.44,,,,,,,0.761,,
EPIC 215171927.02,CANDIDATE,6.63107,,,,2.28,0.036,0.0184,,19.6,1.52,,,,,,,0.761,,
EPIC 215175768.01,CANDIDATE,1.726115,,,,3.096,0.0589,0.061,,1.72,5.6,,,,,,,0.839,,
EPIC 215234145.01,CANDIDATE,1.2539936,,,,2.1264,1.3183,0.306,,3.586,31.7,,,,,,,0.948,,
EPIC 215353525.01,CANDIDATE,0.9085915,,,,1.9176,0.845,0.223,,2.586,23.1,,,,,,,0.95,,
EPIC 215358983.01,CANDIDATE,6.421719,,,0.11,6.12,,0.1279,,,15.3,,,,,,,1.1,,
EPIC 215364084.01,CANDIDATE,2.74324,,,,5.928,0.135,0.0526,,1.77,28.0,,,,,,,4.88,,
EPIC 215381481.01,CANDIDATE,0.533393,,,,1.992,0.02063,0.01206,,2.03,19.5,,,,,,,14.8,,
EPIC 215389654.01,CANDIDATE,23.510811,,,0.2,8.58,,0.1741,,,18.4,,,,,,,0.97,,
EPIC 215502661.01,CANDIDATE,21.521554,,,,,,0.018965,87.72665,20.697925,2.40003126,,,,5694.0,4.22,0.0,1.160188,,
EPIC 215525178.01,CANDIDATE,5.33988,,,,1.8,0.039,0.019,,19.8,1.27,,,,,,,0.611,,
EPIC 215714765.01,CANDIDATE,6.689131,,,,2.46,1.728,0.271,,15.11,29.9,,,,,,,1.011,,
EPIC 215717520.01,CANDIDATE,,,,,12.3336,3.847,0.16958,,,13.66,,,,,,,0.738,,
EPIC 215739094.01,CANDIDATE,3.6322288,,,,7.2096,1.3613,0.11044,,4.123,32.2,,,,,,,2.67,,
EPIC 215816368.01,CANDIDATE,10.14588,,,,5.3592,2.558,0.1488,,16.18,19.43,,,,,,,1.198,,
EPIC 215854715.01,CANDIDATE,11.12366,,,,3.576,0.0427,0.0198,,21.3,1.8,,,,,,,0.8327,,
EPIC 215894766.01,CANDIDATE,,,,,4.68,2.4814,0.338,,,57.0,,,,,,,1.532,,
EPIC 215938010.01,CANDIDATE,1.15144,,,0.97,,,0.0264,,1.97,,,,,5809.0,,,1.91,,
EPIC 216050437.01,CANDIDATE,14.94889,,,,3.2424,0.3574,0.119,,16.8,21.9,,,,,,,1.69,,
EPIC 216111905.01,CANDIDATE,3.0203,,,,5.16,0.0375,0.041,,1.66,5.6,,,,,,,1.265,,
EPIC 216114172.01,CANDIDATE,13.12227,,,,3.936,0.0367,0.01849,,22.8,2.02,,,,,,,1.004,,
EPIC 216166748.01,CANDIDATE,19.68075,,,,4.32,0.0497,0.02165,,31.6,2.55,,,,,,,1.079,,
EPIC 216212516.01,CANDIDATE,3.38492,,,,0.8568,0.0722,0.0258,,26.5,1.48,,,,,,,0.528,,
EPIC 216231580.01,CANDIDATE,3.90518,,,,3.444,1.573,0.1168,,9.09,16.3,,,,,,,1.282,,
EPIC 216334329.01,CANDIDATE,28.077484,,,1.35,3.6192,,0.3999,,,67.3,,,,,,,1.54,,
EPIC 216357880.01,CANDIDATE,11.86386,,,,3.768,0.0605,0.0239,,20.7,2.21,,,,,,,0.848,,
EPIC 216363472.01,CANDIDATE,8.6929,,,,3.768,0.0248,0.0154,,14.3,1.81,,,,,,,1.079,,
EPIC 216387101.01,CANDIDATE,9.761854,,,,,,0.01782,86.84458,12.668355,3.4422482,,,,5529.0,3.91,-0.22,1.770928,,
EPIC 216876207.01,CANDIDATE,32.3204,,,,8.88,0.609,0.122,,16.2,3.3,,,,,,,0.245,,
EPIC 216892056.01,CANDIDATE,2.786008,,,0.46,0.4992,,0.0413,,,1.9,,,,,,,0.42,,
EPIC 217084873.01,CANDIDATE,8.60133,,,,4.0536,0.2804,0.0479,,16.0,5.31,,,,,,,1.016,,
EPIC 217084873.02,CANDIDATE,29.8411,,,,5.28,0.2388,0.0472,,38.6,5.23,,,,,,,1.016,,
EPIC 217149884.01,CANDIDATE,16.692356,,,0.54,5.5296,,0.1733,,,17.0,,,,,,,0.9,,
EPIC 217231249.01,CANDIDATE,4.833191,,,,4.8,1.8419,0.1257,,8.54,25.31,,,,,,,1.8456,,
EPIC 217393088.01,CANDIDATE,1.3194719,,,,3.1872,1.2036,0.1004,,3.488,14.3,,,,,,,1.31,,
EPIC 217855533.01,CANDIDATE,21.587326,,,,,,0.011133,89.11339,31.277472,1.78061635,,,,6244.0,4.11,-0.06,1.466377,,
EPIC 218170789.01,CANDIDATE,3.04108,,,,3.84,0.0563,0.057,,2.21,11.9,,,,,,,1.91,,
EPIC 218195416.01,CANDIDATE,0.4951253,,,,2.5608,0.08276,0.141,,1.272,28.8,,,,,,,1.87,,
EPIC 218300572.01,CANDIDATE,1.589843,,,,2.388,0.1741,0.114,,2.51,49.0,,,,,,,3.93,,
EPIC 218304292.01,CANDIDATE,8.42177,,,,0.6984,0.0837,0.0273,,84.0,3.13,,,,,,,1.0511,,
EPIC 218332621.01,CANDIDATE,9.811589,,,0.707,4.4,,0.0207,,12.64,4.253,,,,5953.0,4.066,-0.162,1.882,1.506,
EPIC 218621322.01,CANDIDATE,11.587502,,,1.17,3.9,,0.202,,,21.9,,,,,,,1.0,,
EPIC 218695436.01,CANDIDATE,1.549318,,,,4.0176,3.789,0.235,,3.027,42.6,,,,,,,1.67,,
EPIC 218701083.01,CANDIDATE,5.0521,,,,,,,89.9891,,2.1388,0.0529,,1073.998,6262.0,4.178,-0.184,1.476,1.198,
EPIC 218709665.01,CANDIDATE,1.9363475,,,,2.2704,2.4595,0.25,,5.02,46.0,,,,,,,1.687,,
EPIC 218711655.01,CANDIDATE,1.157563,,,1.29,0.0,,0.0777,,,12.3,,,,,,,1.46,,
EPIC 218874453.01,CANDIDATE,2.17469,,,,1.08,0.0251,0.0152,,13.6,1.8,,,,,,,1.083,,
EPIC 218901589.01,CANDIDATE,1.658223,,,,2.904,0.01093,0.00867,,4.12,0.867,,,,,,,0.917,,
EPIC 218952024.01,CANDIDATE,0.56007,,,,2.448,0.01663,0.0348,,1.103,1.67,,,,,,,0.441,,
EPIC 218973982.01,CANDIDATE,4.88451,,,,3.0,1.647,0.202,,9.06,16.1,,,,,,,0.73,,
EPIC 219111248.01,CANDIDATE,4.35967,,,,1.8576,0.1568,0.0379,,16.9,2.31,,,,,,,0.559,,
EPIC 219114906.01,CANDIDATE,1.81053,,,,1.68,0.0326,0.0173,,7.2,1.024,,,,,,,0.543,,
EPIC 219256848.01,CANDIDATE,20.94388,,,,3.672,0.4736,0.125,,22.7,170.0,,,,,,,12.43,,
EPIC 219266595.01,CANDIDATE,0.944284,,,,4.032,0.0271,0.0199,,1.2,1.48,,,,,,,0.684,,
EPIC 219388192.01,CANDIDATE,5.292627,,,,3.2952,1.0517,0.09517,,13.21,10.98,,,,,,,1.058,,
EPIC 219420915.01,CANDIDATE,0.5150196,,,,1.9752,0.602,0.27,,1.756,36.2,,,,,,,1.23,,
EPIC 219480273.01,CANDIDATE,26.4837,,,,6.048,0.0201,0.0132,,29.4,1.98,,,,,,,1.378,,
EPIC 219610716.01,CANDIDATE,2.08807,,,,3.072,0.0717,0.0255,,4.51,12.4,,,,,,,4.44,,
EPIC 219747794.01,CANDIDATE,34.3797,,,,3.912,1.943,0.268,,50.0,118.0,,,,,,,4.0,,
EPIC 219747794.02,CANDIDATE,15.6594,,,,6.864,0.253,0.084,,8.2,37.0,,,,,,,4.0,,
EPIC 219760360.01,CANDIDATE,1.4095126,,,,3.2904,1.908,0.353,,2.978,70.0,,,,,,,1.82,,
EPIC 220168663.01,CANDIDATE,3.22513,,,,1.68,0.24,0.0489,,12.3,2.33,,,,,,,0.437,,
EPIC 220170303.02,CANDIDATE,4.9234,,,,2.016,0.021,0.014,,15.6,1.18,,,,,,,0.776,,
EPIC 220173278.01,CANDIDATE,8.03216,,,,5.808,0.01484,0.01198,,9.1,2.42,,,,,,,1.85,,
EPIC 220187552.01,CANDIDATE,17.093319,,,,2.268,2.8067,0.38,,46.7,17.7,,,,,,,0.426,,
EPIC 220192485.01,CANDIDATE,50.69369,,,,4.4328,1.1041,0.1039,,75.8,8.85,,,,,,,0.781,,
EPIC 220198551.01,CANDIDATE,0.7988453,,,,1.0968,0.1357,0.079,,2.41,6.2,,,,,,,0.728,,
EPIC 220201207.01,CANDIDATE,0.4378443,,,,2.2248,0.553,0.293,,1.563,41.0,,,,,,,1.3,,
EPIC 220204960.01,CANDIDATE,13.26931,,,,3.7128,0.3648,0.194,,15.85,23.8,,,,,,,1.127,,
EPIC 220207765.01,CANDIDATE,7.12113,,,,1.944,0.0482,0.0214,,25.3,1.99,,,,,,,0.853,,
EPIC 220209578.01,CANDIDATE,8.904672,,,,3.0864,1.232,0.236,,14.77,26.1,,,,,,,1.014,,
EPIC 220228500.01,CANDIDATE,2.504853,,,,2.2392,0.1806,0.0401,,8.04,3.95,,,,,,,0.905,,
EPIC 220245303.01,CANDIDATE,3.68047,,,,2.112,0.0191,0.0131,,11.4,1.11,,,,,,,0.777,,
EPIC 220256496.02,CANDIDATE,2.6017,,,,1.68,0.0285,0.0161,,10.3,1.47,,,,,,,0.839,,
EPIC 220258394.01,CANDIDATE,15.960128,,,0.7,4.8888,,0.2049,,,19.5,,,,,,,0.87,,
EPIC 220260084.01,CANDIDATE,16.9616,,,,5.424,0.0413,0.0194,,21.5,2.7,,,,,,,1.277,,
EPIC 220263105.01,CANDIDATE,0.7175747,,,,1.524,2.514,0.315,,3.1,28.1,,,,,,,0.818,,
EPIC 220267210.01,CANDIDATE,5.1645,,,,2.112,0.0867,0.0282,,16.9,0.784,,,,,,,0.255,,
EPIC 220275625.01,CANDIDATE,3.44795,,,,1.752,0.0715,0.0268,,12.1,0.97,,,,,,,0.332,,
EPIC 220280237.01,CANDIDATE,,,,,4.368,1.408,0.274,,,36.0,,,,,,,1.208,,
EPIC 220282718.01,CANDIDATE,0.5551606,,,,1.0632,0.11,0.063,,1.82,11.4,,,,,,,1.657,,
EPIC 220287611.01,CANDIDATE,6.26242,,,,2.232,0.0628,0.0244,,19.3,2.03,,,,,,,0.762,,
EPIC 220288191.01,CANDIDATE,24.4131,,,,2.04,1.72,0.22,,69.5,15.3,,,,,,,0.64,,
EPIC 220288594.01,CANDIDATE,4.02748,,,,1.248,0.0399,0.0193,,21.8,1.24,,,,,,,0.5901,,
EPIC 220290988.01,CANDIDATE,10.55369,,,,3.768,0.0906,0.0283,,18.9,2.72,,,,,,,0.88,,
EPIC 220292715.01,CANDIDATE,41.55209,,,,2.952,0.3044,0.054,,89.0,4.3,,,,,,,0.73,,
EPIC 220294712.01,CANDIDATE,23.6088,,,,6.0,0.0783,0.0261,,27.8,3.43,,,,,,,1.203,,
EPIC 220299658.01,CANDIDATE,21.98131,,,0.792,4.6,,0.0805,,27.08,197.025,,,,4491.0,1.773,-0.794,22.415,1.077,
EPIC 220309058.01,CANDIDATE,9.64954,,,,1.0056,0.19,0.0423,,68.0,2.74,,,,,,,0.593,,
EPIC 220315508.01,CANDIDATE,6.5534,,,,2.52,0.01924,0.01331,,17.6,1.11,,,,,,,0.766,,
EPIC 220316844.01,CANDIDATE,0.6719977,,,,1.716,0.2257,0.129,,1.785,25.2,,,,,,,1.79,,
EPIC 220317172.01,CANDIDATE,4.4358,,,,0.936,0.0197,0.0135,,31.1,1.3,,,,,,,0.879,,
EPIC 220322327.01,CANDIDATE,3.31347,,,,2.976,0.0775,0.042,,3.32,3.8,,,,,,,0.824,,
EPIC 220336320.01,CANDIDATE,1.72767,,,1.17,1.3704,,0.5253,,,21.3,,,,,,,0.37,,
EPIC 220342163.01,CANDIDATE,4.69942,,,,3.792,0.0601,0.038,,3.46,2.5,,,,,,,0.605,,
EPIC 220393791.01,CANDIDATE,12.7256,,,,3.432,0.0425,0.0198,,25.0,2.16,,,,,,,1.001,,
EPIC 220395416.01,CANDIDATE,45.4939,,,,8.28,0.1221,0.0404,,19.3,7.17,,,,,,,1.626,,
EPIC 220397060.01,CANDIDATE,12.09259,,,,8.712,0.3608,0.0548,,10.61,14.7,,,,,,,2.46,,
EPIC 220400100.01,CANDIDATE,10.7946,,,,3.336,0.1344,0.0347,,23.0,2.34,,,,,,,0.618,,
EPIC 220400100.02,CANDIDATE,4.06643,,,,1.56,0.035,0.0181,,17.2,1.22,,,,,,,0.618,,
EPIC 220400525.01,CANDIDATE,57.8396,,,,6.552,0.899,0.123,,41.5,9.8,,,,,,,0.729,,
EPIC 220401029.01,CANDIDATE,4.49161,,,,2.64,0.0538,0.0224,,11.1,2.01,,,,,,,0.823,,
EPIC 220410754.01,CANDIDATE,19.4989,,,,4.608,0.0402,0.0196,,27.3,2.32,,,,,,,1.085,,
EPIC 220416518.01,CANDIDATE,3.78177,,,,2.448,0.0249,0.0151,,10.2,1.81,,,,,,,1.095,,
