group_id,label,orbital_period_days,eccentricity,impact_parameter,transit_duration_hours,transit_depth,radius_ratio_rp_rs,inclination_deg,a_over_rs,planet_radius_rearth,semi_major_axis_au,equilibrium_temp_k,insolation_earth,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun
K2-331 b,1,9.398977,,0.43,3.92,,0.0155,,16.76,1.79,,909.0,,5994.0,4.43,0.08,1.06,1.1
K2-331 c,1,22.996591,,0.37,4.43,,0.0235,,37.87,2.72,,673.0,,5994.0,4.43,0.08,1.06,1.1
K2-332 b,1,17.70632,,0.39,2.03,,0.0707,,66.3,2.2,,266.0,,3315.0,4.97,0.09,0.28,0.27
K2-333 b,1,14.759287,,0.26,4.96,,0.0461,,23.06,6.18,,826.0,,5880.0,4.29,0.07,1.22,1.06
K2-334 b,1,5.113981,,0.38,2.46,,0.0343,,15.35,5.65,,1380.0,,6502.0,4.22,0.17,1.49,1.36
K2-335 b,1,12.283211,,0.4,4.31,,0.0151,,20.3,2.21,,949.0,,6222.0,4.28,0.1,1.33,1.23
K2-336 b,1,21.194733,,0.41,4.65,,0.014,,32.37,1.22,,569.0,,5424.0,4.56,-0.17,0.8,0.86
K2-337 b,1,16.273563,,0.38,7.64,,0.018,,15.39,2.62,,850.0,,5869.0,4.17,-0.27,1.32,0.94
K2-338 b,1,3.850614,,0.42,1.78,,0.0148,,15.13,1.03,,783.0,,4558.0,4.65,-0.23,0.63,0.66
K2-339 b,1,19.507428,,0.44,3.4,,0.0244,,40.71,1.92,,508.0,,4857.0,4.59,-0.11,0.72,0.74
K2-34 b,1,2.9956348,,0.83,,,0.0887,,6.68,13.75,0.0442,1687.0,,6168.0,4.2,0.01,1.42,1.16
K2-340 b,1,29.740451,,0.39,5.29,,0.0268,,40.8,3.36,,606.0,,5532.0,4.3,0.08,1.13,0.93
K2-341 b,1,36.552551,,0.41,6.25,,0.0251,,42.13,3.21,,598.0,,5817.0,4.3,-0.05,1.16,0.98
K2-342 b,1,11.561052,,0.42,3.73,,0.0155,,21.96,2.03,,861.0,,5920.0,4.36,-0.06,1.09,1.01
K2-343 b,1,2.787174,,0.48,1.46,,0.0329,,13.47,1.65,,653.0,,3804.0,4.8,-0.1,0.46,0.49
K2-343 c,1,7.676972,,0.36,2.2,,0.0402,,26.11,2.02,,465.0,,3804.0,4.8,-0.1,0.46,0.49
K2-344 b,1,3.35585,,0.41,1.76,,0.0295,,13.79,1.59,,722.0,,4374.0,4.76,-0.95,0.49,0.51
K2-345 b,1,10.367437,,0.43,2.08,,0.0367,,36.12,2.11,,437.0,,3779.0,4.74,0.26,0.52,0.56
K2-346 b,1,26.201446,,0.42,3.33,,0.0297,,56.68,2.26,,450.0,,4801.0,4.6,-0.18,0.7,0.71
K2-347 b,1,7.187257,,0.21,2.57,,0.0335,,21.52,2.41,,640.0,,4599.0,4.65,-0.26,0.63,0.66
K2-348 b,1,4.688418,,0.39,2.75,,0.035,,12.55,3.26,,908.0,,5077.0,4.5,0.13,0.85,0.83
K2-348 c,1,12.550171,,0.43,3.68,,0.0287,,24.47,2.67,,655.0,,5077.0,4.5,0.13,0.85,0.83
K2-349 b,1,9.032178,,0.4,3.25,,0.0255,,19.99,1.38,,518.0,,4385.0,4.78,-0.66,0.49,0.54
K2-35 b,1,2.399964,0.13,,,,0.01949,88.98,10.53,1.32,0.031,,211.0,4402.71,,,0.619575,0.701968
K2-35 c,1,5.608352,0.12,,,,0.028494,88.58,19.1,1.93,0.055,,68.0,4402.71,,,0.619575,0.701968
K2-350 b,1,4.163873,,0.41,2.75,,0.0135,,10.68,1.54,,1158.0,,5789.0,4.39,-0.02,1.04,0.98
K2-350 c,1,19.991944,,0.45,4.94,,0.0239,,28.71,2.74,,687.0,,5789.0,4.39,-0.02,1.04,0.98
K2-351 b,1,7.806164,,0.39,2.78,,0.0221,,20.2,2.54,,934.0,,5769.0,4.4,0.08,1.05,1.02
K2-352 b,1,3.665912,,0.42,1.63,,0.0132,,15.66,1.37,,1160.0,,5791.0,4.47,-0.05,0.95,0.98
K2-352 c,1,8.234885,,0.41,3.59,,0.0185,,16.35,1.92,,885.0,,5791.0,4.47,-0.05,0.95,0.98
K2-352 d,1,14.871387,,0.39,4.14,,0.0214,,25.94,2.23,,727.0,,5791.0,4.47,-0.05,0.95,0.98
K2-354 b,1,3.793306,,0.24,1.53,,0.0353,,19.05,1.56,,543.0,,3669.0,4.86,-0.04,0.41,0.43
K2-355 b,1,5.7385647,,0.43,,,0.0223,,14.85,2.25,0.0632,1066.0,,5790.0,4.49,-0.12,0.92,0.96
K2-356 b,1,21.0267366,,0.36,,,0.0244,,40.15,2.29,0.1599,624.0,,5568.0,4.52,-0.11,0.86,0.9
K2-357 b,1,16.3488637,,0.35,,,0.034,,31.62,3.72,0.145,735.0,,5794.0,4.43,-0.02,1.0,0.98
K2-358 b,1,11.2510285,,0.35,,,0.0269,,20.61,2.68,0.0863,888.0,,5650.0,4.49,-0.07,0.91,0.93
K2-36 b,1,1.422614,0.093,,,,,84.45,,1.43,0.02288,1328.0,519.0,4916.0,,,0.718,0.79
K2-36 c,1,5.340888,0.089,,,,,86.917,,3.2,0.05528,854.0,89.0,4916.0,,,0.718,0.79
K2-360 c,1,9.79692,0.11,,,,,,,,0.0883,912.0,115.0,5679.0,4.435,0.01,0.98,0.958
K2-365 b,1,23.448172,,0.328,,,0.0253,,30.65,2.906,,,,5561.0,4.313,-0.021,1.051,0.823
K2-366 b,1,15.937039,,0.718,,,0.0228,,27.63,2.359,,,,5601.0,4.406,-0.216,0.94,0.825
K2-367 b,1,20.645099,,0.83,,,0.0353,,45.05,2.413,,,,4348.0,4.726,-0.351,0.625,0.756
K2-368 b,1,5.025598,,0.272,,,0.0184,,16.2,1.332,,,,4663.0,4.667,-0.25,0.663,0.746
K2-368 c,1,9.660186,,0.306,,,0.0188,,25.98,1.361,,,,4663.0,4.667,-0.25,0.663,0.746
K2-368 d,1,20.201085,,0.287,,,0.0269,,42.92,1.948,,,,4663.0,4.667,-0.25,0.663,0.746
K2-369 b,1,5.761612,,0.727,,,0.0137,,14.31,1.313,,,,5682.0,4.418,-0.234,0.881,0.735
K2-37 b,1,4.4434,,,,,,,,1.39,,949.0,193.0,5352.0,4.53,-0.08,0.809,0.84
K2-37 c,1,6.42966,,,,,,,,2.41,,839.0,118.0,5352.0,4.53,-0.08,0.809,0.84
K2-37 d,1,14.09229,,,,,,,,2.31,,646.0,41.3,5352.0,4.53,-0.08,0.809,0.84
K2-370 b,1,2.14084,,0.941,,,0.0302,,3.66,3.207,,,,5377.0,4.454,0.018,0.971,0.984
K2-371 b,1,3.114905,,0.666,,,0.1619,,8.64,13.024,,,,4925.0,4.683,-0.107,0.736,0.958
K2-372 b,1,9.844077,,0.337,,,0.0292,,20.01,2.945,,,,5479.0,4.437,-0.064,0.922,0.847
K2-373 b,1,11.02066,,0.666,,,0.0127,,15.29,2.061,,,,6138.0,4.156,0.049,1.486,1.158
K2-374 b,1,4.521953,,0.235,,,0.0161,,11.44,1.593,,,,5789.0,4.386,-0.292,0.907,0.731
K2-374 c,1,16.43445,,0.649,,,0.0223,,27.11,2.213,,,,5789.0,4.386,-0.292,0.907,0.731
K2-375 b,1,14.453895,,0.284,,,0.0133,,16.9,2.243,,,,5822.0,4.107,-0.091,1.543,1.119
K2-376 b,1,5.776475,,0.854,,,0.0138,,11.58,1.736,,,,5937.0,4.275,-0.176,1.149,0.908
K2-377 b,1,12.832235,,0.262,,,0.0224,,30.04,1.693,,,,4200.0,4.673,-0.008,0.691,0.821
K2-378 b,1,2.060438,,0.402,,,0.036,,9.52,2.88,,,,4823.0,4.674,-0.206,0.732,0.923
K2-379 b,1,8.777247,,0.481,,,0.0266,,34.56,2.181,,,,4603.0,4.615,-0.045,0.751,0.856
K2-38 b,1,4.01593,0.197,,,,0.0133,88.36,10.13,1.54,0.04994,1266.0,426.0,5731.0,4.38,0.26,1.06,1.03
K2-38 c,1,10.56103,0.161,,,,0.02,87.68,19.3,2.29,0.09514,916.0,117.0,5731.0,4.38,0.26,1.06,1.03
K2-380 b,1,9.401312,,0.883,,,0.0189,,15.19,2.729,,,,5911.0,4.194,-0.049,1.32,0.993
K2-381 b,1,7.9389334,,0.505,,,0.0146,,31.05,1.075,,,,4473.0,4.653,-0.244,0.675,0.754
K2-381 c,1,16.034656,,0.338,,,0.0271,,39.39,2.0,,,,4473.0,4.653,-0.244,0.675,0.754
K2-381 d,1,26.803023,,0.497,,,0.0229,,59.43,1.689,,,,4473.0,4.653,-0.244,0.675,0.754
K2-382 b,1,21.700156,,0.346,,,0.0234,,40.81,2.072,,,,5452.0,4.585,-0.027,0.811,0.922
K2-383 b,1,1.865962,,0.268,,,0.0178,,7.77,1.564,,,,5129.0,4.655,0.187,0.804,1.061
K2-384 b,1,2.231527,,0.517,,,0.0284,,16.59,1.076,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 c,1,4.194766,,0.446,,,0.0314,,24.63,1.191,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 d,1,6.679582,,0.367,,,0.0367,,27.93,1.392,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 e,1,9.715043,,0.471,,,0.0354,,38.39,1.345,,,,3623.0,4.874,0.068,0.348,0.33
K2-384 f,1,13.62749,,0.467,,,0.0585,,47.7,2.222,,,,3623.0,4.874,0.068,0.348,0.33
K2-385 b,1,2.380867,,0.361,,,0.0185,,10.07,1.539,,,,4844.0,4.64,-0.224,0.761,0.927
K2-386 b,1,7.473223,,0.246,,,0.0219,,16.23,2.32,,,,5749.0,4.424,0.074,0.97,0.911
K2-387 b,1,28.735327,,0.711,,,0.1146,,55.42,7.322,,,,3572.0,4.66,0.126,0.585,0.57
K2-388 b,1,6.33932,,,,,,,,3.9,,874.0,138.0,5310.0,4.42,0.24,0.91,0.93
K2-389 b,1,8.58289,,,,,,,,2.33,,932.0,179.0,5773.0,4.31,0.038,1.094,0.99
K2-389 c,1,20.851337,,0.399,,,0.0172,,28.9,2.04,,,,5782.0,4.273,-0.034,1.084,0.802
K2-39 b,1,4.60543,0.0,,,370.0,,80.39,3.41,6.27704,,,,4881.0,3.44,0.32,2.97,0.66
K2-390 b,1,3.312792,,0.893,,,0.0442,,5.51,4.662,,,,5558.0,4.368,-0.116,0.966,0.789
K2-391 b,1,4.622654,,0.434,,,0.0222,,11.92,1.371,,,,5543.0,4.973,-0.543,0.566,0.757
K2-392 b,1,15.398723,,0.711,,,0.016,,24.32,1.85,,,,5726.0,4.314,-0.238,1.058,0.841
K2-393 b,1,10.413181,,0.803,,,0.0201,,18.38,2.352,,,,5678.0,4.321,0.076,1.071,0.881
K2-394 b,1,5.095717,,0.636,,,0.0245,,15.96,1.692,,,,4938.0,4.515,-0.388,0.631,0.478
K2-395 b,1,4.803352,,0.25,,,0.0304,,14.44,2.597,,,,5007.0,4.628,-0.033,0.783,0.952
K2-395 c,1,8.491282,,0.677,,,0.0397,,22.43,3.395,,,,5007.0,4.628,-0.033,0.783,0.952
K2-396 b,1,0.673862,,0.266,,,0.0157,,3.29,1.579,,,,5236.0,4.488,0.237,0.92,0.954
K2-396 c,1,25.76051,,0.475,,,0.0311,,39.31,3.124,,,,5236.0,4.488,0.237,0.92,0.954
K2-397 b,1,3.572326,,0.892,,,0.0229,,10.11,2.417,,,,5387.0,4.435,0.11,0.966,0.937
K2-398 b,1,6.393025,,0.523,,,0.0168,,11.59,2.274,,,,5946.0,4.227,-0.257,1.239,0.945
K2-398 c,1,18.787839,,0.701,,,0.0377,,23.55,5.098,,,,5946.0,4.227,-0.257,1.239,0.945
K2-399 b,0,0.759978,,0.974,,,0.0359,,1.89,6.049,,,,5690.0,3.956,0.252,1.541,0.783
K2-4 b,1,10.003417,0.08,,,,0.033752,89.54,27.68,2.1,0.078,,15.6,4014.73,,,0.569359,0.635026
K2-400 b,1,3.865053,,0.208,,,0.0279,,19.12,1.163,,,,3578.0,4.847,-0.051,0.382,0.374
K2-401 b,1,6.293099,,0.621,,,0.0306,,20.97,2.262,,,,4213.0,4.719,-0.098,0.675,0.87
K2-402 b,1,17.27474,,0.468,,,0.0192,,23.11,2.678,,,,5716.0,4.197,-0.378,1.28,0.944
K2-403 b,1,33.589979,,0.723,,,0.0551,,39.87,5.333,,,,5511.0,4.439,-0.162,0.886,0.784
K2-404 b,1,13.115365,,0.481,,,0.042,,34.74,2.53,,,,3748.0,4.695,0.005,0.552,0.552
K2-405 b,1,3.435471,,0.871,,,0.0548,,6.33,4.569,,,,4927.0,4.685,0.132,0.765,1.034
K2-406 b,1,22.549406,,0.544,,,0.0439,,32.15,4.602,,,,5784.0,4.374,-0.038,0.961,0.798
K2-407 b,1,4.941907,,0.309,,,0.0127,,12.77,1.283,,,,5563.0,4.45,0.014,0.927,0.881
K2-407 c,1,9.22453,,0.259,,,0.0134,,18.76,1.36,,,,5563.0,4.45,0.014,0.927,0.881
K2-408 b,1,20.978959,,0.213,,,0.0196,,36.24,1.677,,,,5335.0,4.559,-0.171,0.784,0.813
K2-409 b,1,1.908084,,0.418,,,0.0185,,5.32,2.482,,,,5742.0,4.204,-0.036,1.228,0.886
K2-411 b,1,3.2141,,,,,,90.0008,,0.9898,0.0511,,619.038,5711.0,4.1693,0.1415,1.375,1.018
K2-412 b,1,5.9382,,,,,,89.998,,2.116,0.0586,,243.518,5590.0,4.412,0.014,0.977,0.893
K2-413 b,1,0.8094,,,,,,89.9518,,0.7599,0.0117,,921.755,4116.0,4.656,-0.205,0.7,0.808
K2-413 c,1,5.3301,,,,,,89.9985,,1.2327,0.0426,,69.529,4116.0,4.656,-0.205,0.7,0.808
K2-414 b,1,4.3696,,,,,,90.0045,,1.219,0.0487,,72.113,4343.0,4.621,-0.102,0.732,0.814
K2-414 c,1,6.669,,,,,,89.9973,,1.9287,0.0552,,56.13,4343.0,4.621,-0.102,0.732,0.814
K2-415 b,1,4.0179694,,0.37,,,0.0472,89.32,29.63,1.015,0.027,412.4,4.82,3173.0,5.066,-0.13,0.1965,0.1635
K2-416 b,1,13.102,,0.45,2.77,,0.044,89.25,34.2,2.66,0.088,447.0,,3746.0,4.691,,0.554,0.548
K2-417 b,1,6.535,,0.41,2.07,,0.0525,89.0,23.4,3.31,0.063,558.0,,3861.0,4.67,,0.5776,0.569
K2-419 A b,1,20.35847252,0.042,0.389,3.574,,0.1805,89.54,48.46,10.55,0.1208,377.0,3.3,3711.0,4.74,-0.11,0.541,0.562
K2-42 b,1,6.68796,,,3.04,,0.0304,,,2.15,0.0617,,44.1,4613.0,4.659,,0.643,0.702
K2-43 b,1,3.471149,,0.11,,,0.04298,89.6,8.0,4.51,,939.3,,3840.6,,,0.542,0.571
K2-43 c,1,2.198884,,0.14,,,0.02319,89.26,5.9,2.42,,1093.7,,3840.6,,,0.542,0.571
K2-44 b,1,5.657,,0.29,,,0.0141,87.9933,,2.433,0.06,,,5912.0,4.101,0.0,1.58,1.15
K2-45 b,1,1.7292684,,,1.689,,0.1376,,,6.71,0.0224,,100.0,4103.0,4.824,,0.445,0.503
K2-46 b,1,19.1541,,,6.73,,0.0145,,,2.05,0.13821,,119.0,6256.0,4.198,,1.29,0.96
K2-47 b,1,31.6372,,,4.0,,0.0229,,,1.89,0.1779,,10.7,5054.0,4.544,,0.76,0.75
K2-48 b,1,20.5065,,,3.01,,0.028,,,2.24,0.1344,,15.3,4899.0,4.603,,0.73,0.77
K2-49 b,1,2.77065,,,2.307,,0.0383,,,1.93,0.0309,,59.0,4175.0,4.81,,0.45,0.51
K2-5 b,1,5.73594,,0.65,2.654,,0.03031,87.35,14.0,1.91,0.0532,565.0,24.1,3930.0,4.71,-0.33,0.57,0.61
K2-5 c,1,10.93241,,0.83,3.498,,0.03601,86.95,15.6,2.26,0.0818,456.0,10.2,3930.0,4.71,-0.33,0.57,0.61
K2-50 b,1,8.7529,,,2.68,,0.0264,,,1.59,0.0705,,18.8,4326.0,4.742,,0.546,0.611
K2-51 b,0,13.00819,,,5.3952,12279.0,0.1047,,19.1,20.1,,,,,,,1.76,
K2-52 b,1,3.535055,,0.32,5.328,,0.075,86.46,5.2,18.0,0.054,2004.0,,7147.0,3.979,0.055,2.192,1.691
K2-53 b,1,12.20772,,0.31,3.48,,0.03,89.32,26.3,2.6,0.098,665.0,,5263.0,4.555,-0.037,0.807,0.851
K2-54 b,1,9.7833,0.24,0.37,2.7888,1390.0000000000002,0.0373,89.08,25.4,2.6116925,0.0761,560.0,,3990.0,4.61,-0.02,0.643,0.615
K2-55 b,1,2.849271,,,,,,,,4.43,,900.0,141.3,4300.0,4.566,0.376,0.715,0.688
K2-57 b,1,9.0073,0.25,0.39,2.58,990.0,0.0315,88.95,24.09,2.30905002,0.0752,635.8,,4413.0,4.629,0.08,0.671,0.699
K2-58 b,1,7.05254,,,1.899,,0.028,,,2.68,0.0692,,118.0,5413.0,4.522,,0.86,0.89
K2-58 c,1,2.53726,,,1.996,,0.0169,,,1.62,0.035,,462.0,5413.0,4.522,,0.86,0.89
K2-58 d,1,22.8827,,,3.2,,0.018,,,1.71,0.1517,,24.6,5413.0,4.522,,0.86,0.89
K2-59 b,1,20.6921,,,2.76,,0.0299,,,2.41,0.1354,,17.1,5055.0,4.592,,0.731,0.774
K2-59 c,1,11.2954,,,1.75,,0.0286,,,2.3,0.0905,,38.3,5055.0,4.592,,0.731,0.774
K2-6 b,1,30.94191,,,,680.0,,,50.27,2.5,0.1898,615.0,,5850.0,,-0.14,0.96,0.97
K2-60 b,1,3.00265,0.0,0.21,3.08,,0.063,88.49,7.78,7.655747,0.045,1400.0,,5500.0,4.07,0.01,1.12,0.97
K2-61 b,1,2.57336,,,,,,,,1.92,,1325.0,730.0,5748.0,4.38,0.03,0.995,0.97
K2-62 b,1,6.67199,,,,,,,,2.02,,666.0,46.7,4455.0,4.57,-0.1,0.696,0.67
K2-62 c,1,16.19697,,,,,,,,1.99,,495.0,14.3,4455.0,4.57,-0.1,0.696,0.67
K2-63 b,1,20.257,,,5.49,,0.018,,,3.22,0.1627,,188.0,6771.0,4.15,,1.63,1.4
K2-63 c,1,25.4556,,,4.24,,0.0219,,,3.9,0.189,,139.0,6771.0,4.15,,1.63,1.4
K2-64 b,1,6.53044,,,3.06,,0.0259,,,2.07,0.0619,,98.0,5312.0,4.576,,0.726,0.741
K2-65 b,1,12.6475,,,3.43,,0.0173,,,1.58,0.1014,,45.0,5213.0,4.533,,0.84,0.87
K2-66 b,1,5.06963,0.0,0.47,4.71,,0.01353,86.6,7.874,2.49,0.05983,1372.0,840.0,5887.0,4.03,-0.047,1.67,1.11
K2-67 b,0,24.38752,,,6.0288,23710.0,0.1438,,34.68,22.4,,,,,,,1.43,
K2-68 b,1,8.05428,,,2.72,,0.0211,,,1.58,0.0708,,41.0,4746.0,4.632,,0.675,0.73
K2-69 b,1,7.06599,,,1.62,,0.0428,,,2.32,0.0591,,17.9,4127.0,4.786,,0.491,0.551
K2-7 b,1,28.6781,0.24,0.37,7.5816,580.0,0.02408,89.08,26.3,4.03523305,0.1867,786.0,,5700.0,4.092,0.049,1.533,1.056
K2-70 b,1,13.97896,,,3.52,,0.0281,,,2.89,0.1112,,62.0,5622.0,4.478,,0.93,0.94
K2-71 b,1,6.98541,,,1.41,,0.0457,,,2.15,0.0559,,13.4,4006.0,4.852,,0.426,0.477
K2-72 b,1,5.577212,0.11,,,,0.029949,89.15,24.16,1.08,0.04,,8.5,3360.47,,,0.330989,0.271365
K2-72 c,1,15.189034,0.11,,,,0.032263,89.54,47.82,1.16,0.078,,2.2,3360.47,,,0.330989,0.271365
K2-72 d,1,7.760178,0.11,,,,0.027863,89.26,29.91,1.01,0.05,,5.4,3360.47,,,0.330989,0.271365
K2-72 e,1,24.158868,0.11,,,,0.035758,89.68,64.53,1.29,0.106,,1.2,3360.47,,,0.330989,0.271365
K2-73 b,1,7.49556,,,,,,,,2.58,,968.0,209.0,5867.0,4.39,0.04,1.058,1.02
K2-74 b,1,19.5666,,,5.12,,0.0215,,,2.31,0.1402,,59.1,6060.0,4.444,,0.98,0.96
K2-75 b,1,7.8142,,,5.48,,0.0156,,,2.67,0.081,,430.0,5995.0,4.118,,1.56,1.16
K2-75 c,1,18.311,,,6.42,,0.0162,,,2.77,0.1429,,138.0,5995.0,4.118,,1.56,1.16
K2-76 b,0,11.98934,,,5.6856,7257.0,0.07846,,17.13,14.77,,,,,,,1.726,
K2-77 b,1,8.2000844,0.29,0.55,2.544,830.9999999999999,0.0288,88.33,20.46,2.4996027,0.0753,806.0,,5160.0,4.569,0.13,0.792,0.847
K2-78 b,0,2.29016,,,2.8896,,0.0145,,,1.42,,,,,,,,
K2-79 b,1,10.9947,0.23,,,,,88.44,,4.09,0.0988,1022.0,181.0,5897.0,,0.035,1.265,1.066
K2-8 b,1,10.35239,,0.88,3.362,,0.04457,86.42,14.1,3.58,0.0856,631.0,37.7,4870.0,4.52,-0.02,0.74,0.78
K2-8 c,1,5.06416,,0.78,2.08,,0.0299,86.7,13.5,2.41,0.0532,801.0,97.8,4870.0,4.52,-0.02,0.74,0.78
K2-80 b,1,19.0918,,,4.46,,0.021,,,2.01,0.135,,32.5,5441.0,4.519,,0.87,0.9
K2-80 c,1,5.605,,,2.68,,0.0154,,,1.47,0.0596,,166.0,5441.0,4.519,,0.87,0.9
K2-80 d,1,28.867253,,,,,0.027806,89.39678,45.619404,2.55211506,,,,5377.0,4.65,0.07,0.841458,0.913111
K2-81 b,1,6.102325,0.06,,,,0.028504,89.29,19.77,1.97,0.059,,62.9,4674.13,,,0.634663,0.745273
K2-82 b,0,7.195834,,,2.21688,,0.1398,,,2.6,,,,,,,,
K2-83 b,1,2.74697,,,1.664,,0.0268,,,1.244,0.03014,,41.5,3910.0,4.863,,0.424,0.484
K2-83 c,1,9.99767,,,2.77,,0.0319,,,1.483,0.07131,,7.42,3910.0,4.863,,0.424,0.484
K2-84 b,1,6.4215,,,2.81,,0.0234,,,2.41,0.0665,,178.0,5652.0,4.481,,0.93,0.95
K2-84 c,1,27.86,,,4.61,,0.0198,,,2.03,0.1768,,25.3,5652.0,4.481,,0.93,0.95
K2-85 b,1,0.68453862616,,,,,,,,1.4,,1355.0,800.0,4232.0,4.44,0.14,0.71,0.7
K2-86 b,1,8.77683,,,2.75,,0.0234,,,1.96,0.077,,78.0,5482.0,4.579,,0.76,0.79
K2-87 b,1,9.726618,,0.57,4.56,,0.05,87.74,14.4,7.6,0.094,979.0,,5747.0,4.208,0.328,1.401,1.164
K2-88 b,1,4.6122,,,1.039,,0.0436,,,1.23,0.0345,,7.8,3537.0,5.022,,0.256,0.258
K2-89 b,1,1.096026,,,0.895,,0.0176,,,0.615,0.01462,,78.0,3691.0,4.965,,0.318,0.347
K2-9 b,1,18.4498,,0.9261,2.8397,,0.06669,87.983,26.3,2.25,0.091,314.0,1.36,3390.0,,-0.25,0.31,0.3
K2-90 b,1,13.733314,,0.44,2.952,,0.038,89.24,33.4,2.6,0.096,502.0,,4484.0,4.653,-0.225,0.619,0.629
K2-90 c,1,2.900706,0.19,,,,0.018733,86.94,12.02,1.3,0.035,,80.8,4421.98,,,0.634754,0.704613
K2-91 b,1,1.419549,,,0.945,,0.0352,,,1.1,0.0164,,46.0,3622.0,5.0,,0.284,0.292
K2-92 b,0,0.701818,,,1.5312,,0.0168,,,2.56,,,,,,,,
K2-95 b,1,10.1346454,,0.46,,,0.0756,,28.28,3.31,0.0525,474.0,,3566.0,4.85,0.1,0.4,0.41
K2-97 b,1,8.407115,0.207,0.895,6.2712,891.0,0.0298,75.5,4.44,13.45077684,0.0854,1566.0,,4673.0,3.276,0.328,4.14,1.17
K2-98 b,1,10.1367349,0.119,0.37,5.1216,930.0,0.03049,88.39,13.94,5.06645928,0.0986,1185.0,,6260.0,4.169,-0.044,1.518,1.246
K2-99 b,1,18.24783,0.22,0.34,11.1,,0.0426,88.6,13.1,11.88151954,0.153,1184.0,,6069.0,3.783,0.2,2.55,1.44
Qatar-2 b,1,1.33711647,0.0,,,,0.1659,86.12,,14.056,0.02153,1344.0,,4645.0,4.53,0.02,0.776,0.743
TRAPPIST-1 b,1,1.510826,,0.095,0.601,7378.0,0.0859,89.728,20.843,1.116,0.01154,,4.153,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 c,1,2.421937,,0.109,0.7005,7123.0,0.0844,89.778,28.549,1.097,0.0158,,2.214,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 d,1,4.049219,,0.063,0.8145,3676.0,0.06063,89.896,40.216,0.788,0.02227,,1.115,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 e,1,6.101013,,0.191,0.9293,5012.0,0.07079,89.793,52.855,0.92,0.02925,,0.646,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 f,1,9.20754,,0.312,1.048,6465.0,0.0804,89.74,69.543,1.045,0.03849,,0.373,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 g,1,12.352446,,0.379,1.137,7554.999999999999,0.08692,89.742,84.591,1.129,0.04683,,0.252,2566.0,5.2396,,0.1192,0.0898
TRAPPIST-1 h,1,18.772866,,0.378,1.269,3375.0,0.05809,89.805,111.817,0.755,0.06189,,0.144,2566.0,5.2396,,0.1192,0.0898
V1298 Tau b,1,24.140006,0.0079,0.26,6.45,,0.0661,,,9.41,0.1685,666.0,,4970.0,,,1.32,1.1
V1298 Tau c,1,8.249164,0.0094,0.36,4.89,,0.0356,,,5.08,0.0824,953.0,,4970.0,,,1.32,1.1
V1298 Tau d,1,12.401394,0.0087,0.21,5.57,,0.0458,,,6.53,0.1081,831.0,,4970.0,,,1.32,1.1
V1298 Tau e,1,48.677714,0.0124,0.61,7.56,,0.0716,,,10.17,0.2689,527.0,,4970.0,,,1.32,1.1
WASP-107 b,1,5.7214742,0.06,,,,,,,,,,,4425.0,4.633,0.02,0.67,0.683
WASP-107 c,1,1088.0,0.28,,,,,,,,,,,4425.0,4.633,0.02,0.67,0.683
WASP-118 b,1,4.0460435,0.0,0.16,4.8048,7550.0,,88.7,6.92,16.14096,0.05453,1729.0,,6410.0,4.1,0.16,1.696,1.32
WASP-151 b,1,,,,,,,,,,,,,,,,,
WASP-157 b,1,,,,,,,,,,,,,,,,,
WASP-28 b,1,,,,,,,,,,,,,,,,,
WASP-47 b,1,4.159151,0.0006,,,,,89.0,,12.86,,,,,,,1.156,1.058
WASP-47 c,1,589.57,0.264,,,,,90.0,,,,,,,,,1.156,1.058
WASP-47 d,1,9.030501,0.001,,,,,89.23,,3.65,,,,,,,1.156,1.058
WASP-47 e,1,0.78961,0.0,,,,,86.73,,1.83,,,,,,,1.156,1.058
WASP-55 b,1,4.465631,,0.235,,,,88.74,10.66,14.72860064,,1342.0,504.0,6096.0,4.393,-0.03,1.09,1.071
WASP-75 b,1,2.484193,0.0,0.882,1.9728,10700.0,,82.0,,14.235,0.0375,1710.0,,6100.0,4.29,0.07,1.26,1.14
WASP-85 A b,1,,,,,,,,,,,,,,,,,
Wolf 503 b,1,6.00127,0.41,0.65,1.33,,0.02791,,,2.043,0.05706,790.0,,4716.0,4.62,-0.47,0.689,0.688
